movement_id,dc_code,sku,movement_type,quantity,supplier_ref,movement_date,movement_time,timezone,reached_epos,week_number,notes
55,DC-LEEDS,NP-SKU-00013,receipt,100.7,SUP009-DEL-11328,2025-01-03,22:18,UTC,Y,1,
56,DC-NORW,NP-SKU-00094,receipt,88.1,SUP013-DEL-28650,2025-01-02,15:33,UTC,Y,1,
57,DC-LEEDS,NP-SKU-00116,receipt,472.3,SUP001-DEL-56523,2025-01-03,13:09,UTC,Y,1,
58,DC-BHAM,NP-SKU-00098,receipt,185.8,SUP011-DEL-59186,2025-01-05,13:34,UTC,Y,1,
59,DC-BHAM,NP-SKU-00006,receipt,96.2,SUP008-DEL-55031,2025-01-02,14:48,UTC,Y,1,
60,DC-NORW,NP-SKU-00001,transfer,65.8,SUP014-DEL-20612,2025-01-01,17:31,UTC,Y,1,
61,DC-GLAS,NP-SKU-00097,write_off,453.1,SUP009-DEL-52871,2025-01-04,17:51,UTC,Y,1,
62,DC-MANC,NP-SKU-00136,receipt,41.6,SUP002-DEL-38797,2025-01-01,14:20,UTC,Y,1,
63,DC-BHAM,NP-SKU-00070,receipt,314.5,SUP008-DEL-37871,2025-01-05,20:42,UTC,Y,1,
64,DC-GLAS,NP-SKU-00005,write_off,374.4,SUP003-DEL-60256,2025-01-04,09:47,UTC,Y,1,
65,DC-MANC,NP-SKU-00127,transfer,218.7,SUP011-DEL-76801,2025-01-01,13:38,UTC,Y,1,
66,DC-GLAS,NP-SKU-00028,receipt,205.2,SUP007-DEL-18928,2025-01-06,14:29,UTC,Y,1,
67,DC-BRIS,NP-SKU-00087,write_off,51.7,SUP001-DEL-16233,2025-01-06,08:40,UTC,Y,1,
68,DC-BRIS,NP-SKU-00050,transfer,442.8,SUP019-DEL-85855,2025-01-02,06:01,UTC,Y,1,
69,DC-MANC,NP-SKU-00056,receipt,337.2,SUP004-DEL-11667,2025-01-01,19:53,UTC,Y,1,
70,DC-LEEDS,NP-SKU-00035,receipt,499.2,SUP014-DEL-23721,2025-01-03,15:53,UTC,Y,1,
71,DC-BRIS,NP-SKU-00099,receipt,48.1,SUP017-DEL-49831,2025-01-02,14:54,UTC,Y,1,
72,DC-LEEDS,NP-SKU-00071,receipt,27.2,SUP020-DEL-19153,2025-01-06,14:30,UTC,Y,1,
73,DC-LEEDS,NP-SKU-00075,write_off,247.3,SUP017-DEL-50190,2025-01-04,20:16,UTC,Y,1,
74,DC-MANC,NP-SKU-00048,transfer,148.8,SUP007-DEL-53138,2025-01-05,22:08,UTC,Y,1,
75,DC-GLAS,NP-SKU-00059,write_off,184.0,SUP017-DEL-19250,2025-01-07,13:35,UTC,Y,1,
76,DC-LEEDS,NP-SKU-00147,receipt,175.5,SUP013-DEL-86116,2025-01-04,08:00,UTC,Y,1,
77,DC-BHAM,NP-SKU-00109,transfer,62.3,SUP001-DEL-35572,2025-01-04,08:49,UTC,Y,1,
78,DC-MANC,NP-SKU-00050,receipt,81.8,SUP009-DEL-50698,2025-01-02,11:52,UTC,Y,1,
79,DC-NORW,NP-SKU-00049,receipt,312.0,SUP011-DEL-13295,2025-01-05,12:19,UTC,Y,1,
80,DC-MANC,NP-SKU-00130,receipt,227.1,SUP009-DEL-72851,2025-01-04,17:13,UTC,Y,1,
81,DC-LEEDS,NP-SKU-00012,receipt,350.9,SUP018-DEL-98242,2025-01-03,13:54,UTC,Y,1,
82,DC-NORW,NP-SKU-00134,write_off,218.1,SUP016-DEL-31442,2025-01-02,17:35,UTC,Y,1,
83,DC-NORW,NP-SKU-00133,write_off,160.3,SUP001-DEL-89415,2025-01-02,17:09,UTC,Y,1,
84,DC-BRIS,NP-SKU-00012,receipt,271.6,SUP018-DEL-48390,2025-01-02,17:11,UTC,Y,1,
85,DC-MANC,NP-SKU-00026,write_off,154.8,SUP011-DEL-65526,2025-01-05,12:40,UTC,Y,1,
86,DC-BHAM,NP-SKU-00045,receipt,242.7,SUP014-DEL-81317,2025-01-02,18:23,UTC,Y,1,
87,DC-NORW,NP-SKU-00097,receipt,61.5,SUP007-DEL-56103,2025-01-05,10:04,UTC,Y,1,
88,DC-NORW,NP-SKU-00026,receipt,190.2,SUP011-DEL-87781,2025-01-03,13:37,UTC,Y,1,
89,DC-GLAS,NP-SKU-00075,receipt,209.8,SUP005-DEL-27679,2025-01-01,10:18,UTC,Y,1,
90,DC-NORW,NP-SKU-00007,write_off,258.8,SUP009-DEL-28666,2025-01-06,13:26,UTC,Y,1,
91,DC-GLAS,NP-SKU-00033,receipt,158.6,SUP013-DEL-22120,2025-01-05,17:01,UTC,Y,1,
92,DC-LEEDS,NP-SKU-00123,receipt,254.9,SUP010-DEL-41676,2025-01-04,22:02,UTC,Y,1,
93,DC-BRIS,NP-SKU-00018,receipt,285.1,SUP005-DEL-94275,2025-01-02,17:49,UTC,Y,1,
94,DC-GLAS,NP-SKU-00011,receipt,17.4,SUP007-DEL-12044,2025-01-06,20:12,UTC,Y,1,
95,DC-GLAS,NP-SKU-00118,transfer,321.4,SUP001-DEL-38393,2025-01-06,07:38,UTC,Y,1,
96,DC-LEEDS,NP-SKU-00111,receipt,445.2,SUP018-DEL-69984,2025-01-02,15:53,UTC,Y,1,
97,DC-BHAM,NP-SKU-00009,receipt,37.7,SUP002-DEL-99984,2025-01-05,13:36,UTC,Y,1,
98,DC-MANC,NP-SKU-00128,receipt,149.3,SUP012-DEL-29612,2025-01-04,07:50,UTC,Y,1,
99,DC-GLAS,NP-SKU-00096,write_off,422.3,SUP014-DEL-98690,2025-01-03,14:11,UTC,Y,1,
100,DC-MANC,NP-SKU-00123,receipt,200.7,SUP014-DEL-44112,2025-01-05,15:30,UTC,Y,1,
101,DC-GLAS,NP-SKU-00045,receipt,354.2,SUP008-DEL-32661,2025-01-01,06:10,UTC,Y,1,
102,DC-LEEDS,NP-SKU-00077,receipt,167.7,SUP012-DEL-62572,2025-01-05,11:56,UTC,Y,1,
103,DC-MANC,NP-SKU-00043,receipt,86.3,SUP015-DEL-70902,2025-01-03,14:47,UTC,Y,1,
104,DC-BRIS,NP-SKU-00082,receipt,170.6,SUP005-DEL-90881,2025-01-07,07:32,UTC,Y,1,
105,DC-GLAS,NP-SKU-00040,transfer,113.9,SUP004-DEL-62005,2025-01-04,16:49,UTC,Y,1,
106,DC-GLAS,NP-SKU-00081,receipt,488.9,SUP003-DEL-21730,2025-01-04,13:40,UTC,Y,1,
107,DC-LEEDS,NP-SKU-00099,receipt,486.3,SUP014-DEL-40156,2025-01-07,16:05,UTC,Y,1,
108,DC-BHAM,NP-SKU-00015,receipt,319.0,SUP013-DEL-38216,2025-01-02,14:28,UTC,Y,1,
109,DC-GLAS,NP-SKU-00002,receipt,329.7,SUP014-DEL-88178,2025-01-03,19:20,UTC,Y,1,
110,DC-NORW,NP-SKU-00044,write_off,462.8,SUP016-DEL-84541,2025-01-03,17:44,UTC,Y,1,
111,DC-LEEDS,NP-SKU-00124,transfer,237.4,SUP015-DEL-99997,2025-01-07,22:31,UTC,Y,1,
112,DC-GLAS,NP-SKU-00077,write_off,228.9,SUP015-DEL-22861,2025-01-05,21:02,UTC,Y,1,
113,DC-BRIS,NP-SKU-00050,receipt,179.3,SUP001-DEL-59937,2025-01-06,19:56,UTC,Y,1,
114,DC-BHAM,NP-SKU-00051,receipt,440.1,SUP004-DEL-81801,2025-01-03,19:34,UTC,Y,1,
115,DC-BHAM,NP-SKU-00029,receipt,298.5,SUP007-DEL-27542,2025-01-07,13:49,UTC,Y,1,
116,DC-MANC,NP-SKU-00006,receipt,355.6,SUP002-DEL-15694,2025-01-07,12:02,UTC,Y,1,
117,DC-LEEDS,NP-SKU-00053,receipt,263.4,SUP001-DEL-34104,2025-01-02,20:16,UTC,Y,1,
118,DC-MANC,NP-SKU-00094,receipt,458.1,SUP011-DEL-41966,2025-01-04,15:01,UTC,Y,1,
119,DC-BRIS,NP-SKU-00027,receipt,295.0,SUP002-DEL-37983,2025-01-06,18:58,UTC,Y,1,
120,DC-MANC,NP-SKU-00095,receipt,101.2,SUP016-DEL-53814,2025-01-07,15:50,UTC,Y,1,
121,DC-BRIS,NP-SKU-00127,receipt,240.1,SUP009-DEL-80247,2025-01-06,08:21,UTC,Y,1,
122,DC-BHAM,NP-SKU-00109,receipt,348.1,SUP001-DEL-32926,2025-01-01,17:22,UTC,Y,1,
123,DC-GLAS,NP-SKU-00087,receipt,480.2,SUP009-DEL-61132,2025-01-03,11:38,UTC,Y,1,
124,DC-LEEDS,NP-SKU-00080,write_off,48.6,SUP016-DEL-19445,2025-01-07,08:43,UTC,Y,1,
125,DC-BHAM,NP-SKU-00089,transfer,432.4,SUP008-DEL-42190,2025-01-02,07:53,UTC,Y,1,
126,DC-GLAS,NP-SKU-00065,write_off,204.3,SUP001-DEL-54716,2025-01-02,16:12,UTC,Y,1,
127,DC-MANC,NP-SKU-00128,receipt,93.0,SUP019-DEL-97813,2025-01-04,06:42,UTC,Y,1,
128,DC-LEEDS,NP-SKU-00009,receipt,493.7,SUP016-DEL-29001,2025-01-01,07:08,UTC,Y,1,
129,DC-NORW,NP-SKU-00091,write_off,136.9,SUP011-DEL-41343,2025-01-03,07:15,UTC,Y,1,
130,DC-BRIS,NP-SKU-00029,write_off,51.1,SUP018-DEL-33064,2025-01-03,06:40,UTC,Y,1,
131,DC-NORW,NP-SKU-00050,receipt,249.9,SUP012-DEL-28315,2025-01-05,13:13,UTC,Y,1,
132,DC-GLAS,NP-SKU-00117,receipt,214.0,SUP007-DEL-68499,2025-01-04,13:56,UTC,Y,1,
133,DC-MANC,NP-SKU-00133,receipt,360.3,SUP011-DEL-71220,2025-01-07,12:06,UTC,Y,1,
134,DC-NORW,NP-SKU-00010,receipt,25.3,SUP007-DEL-45658,2025-01-05,19:00,UTC,Y,1,
135,DC-BHAM,NP-SKU-00044,receipt,131.9,SUP004-DEL-19767,2025-01-01,08:05,UTC,Y,1,
136,DC-NORW,NP-SKU-00069,receipt,391.8,SUP006-DEL-68340,2025-01-01,18:38,UTC,Y,1,
137,DC-BRIS,NP-SKU-00047,transfer,106.0,SUP015-DEL-52027,2025-01-01,08:22,UTC,Y,1,
138,DC-NORW,NP-SKU-00080,receipt,303.4,SUP007-DEL-98036,2025-01-02,12:02,UTC,Y,1,
139,DC-GLAS,NP-SKU-00081,receipt,310.0,SUP004-DEL-45378,2025-01-05,19:47,UTC,Y,1,
140,DC-BHAM,NP-SKU-00009,receipt,245.4,SUP004-DEL-33947,2025-01-02,12:08,UTC,Y,1,
141,DC-NORW,NP-SKU-00110,receipt,298.1,SUP009-DEL-20529,2025-01-02,13:13,UTC,Y,1,
142,DC-GLAS,NP-SKU-00138,receipt,341.7,SUP015-DEL-98910,2025-01-07,20:39,UTC,Y,1,
143,DC-NORW,NP-SKU-00148,receipt,264.3,SUP005-DEL-83351,2025-01-03,20:34,UTC,Y,1,
144,DC-BRIS,NP-SKU-00063,write_off,307.9,SUP004-DEL-27714,2025-01-03,08:55,UTC,Y,1,
145,DC-BHAM,NP-SKU-00044,write_off,125.4,SUP017-DEL-26430,2025-01-06,22:37,UTC,Y,1,
146,DC-NORW,NP-SKU-00075,receipt,148.2,SUP006-DEL-97959,2025-01-04,17:56,UTC,Y,1,
147,DC-BHAM,NP-SKU-00019,write_off,106.9,SUP017-DEL-43038,2025-01-05,17:08,UTC,Y,1,
148,DC-NORW,NP-SKU-00124,receipt,288.7,SUP015-DEL-32065,2025-01-02,16:23,UTC,Y,1,
149,DC-LEEDS,NP-SKU-00054,receipt,146.2,SUP020-DEL-76471,2025-01-06,09:46,UTC,Y,1,
150,DC-BRIS,NP-SKU-00147,receipt,243.1,SUP009-DEL-70208,2025-01-07,11:13,UTC,Y,1,
151,DC-MANC,NP-SKU-00008,write_off,235.0,SUP001-DEL-57783,2025-01-05,06:49,UTC,Y,1,
152,DC-LEEDS,NP-SKU-00138,receipt,285.1,SUP005-DEL-61003,2025-01-04,22:54,UTC,Y,1,
153,DC-GLAS,NP-SKU-00047,write_off,192.3,SUP005-DEL-13180,2025-01-05,22:06,UTC,Y,1,
154,DC-BHAM,NP-SKU-00112,receipt,335.8,SUP013-DEL-86573,2025-01-04,22:47,UTC,Y,1,
155,DC-BHAM,NP-SKU-00022,transfer,293.4,SUP019-DEL-88192,2025-01-04,17:15,UTC,Y,1,
156,DC-MANC,NP-SKU-00027,receipt,325.2,SUP004-DEL-31141,2025-01-03,13:45,UTC,Y,1,
157,DC-GLAS,NP-SKU-00054,receipt,287.4,SUP002-DEL-50502,2025-01-03,12:24,UTC,Y,1,
158,DC-NORW,NP-SKU-00119,receipt,458.0,SUP002-DEL-33129,2025-01-07,12:37,UTC,Y,1,
159,DC-BHAM,NP-SKU-00098,receipt,271.1,SUP020-DEL-29209,2025-01-01,12:36,UTC,Y,1,
160,DC-MANC,NP-SKU-00028,receipt,446.2,SUP011-DEL-73990,2025-01-04,10:14,UTC,Y,1,
161,DC-GLAS,NP-SKU-00020,receipt,205.7,SUP017-DEL-48319,2025-01-07,21:12,UTC,Y,1,
162,DC-GLAS,NP-SKU-00085,write_off,221.6,SUP019-DEL-89179,2025-01-07,16:46,UTC,Y,1,
163,DC-BRIS,NP-SKU-00035,receipt,79.5,SUP015-DEL-73165,2025-01-02,14:56,UTC,Y,1,
164,DC-NORW,NP-SKU-00098,receipt,46.9,SUP017-DEL-16038,2025-01-03,12:31,UTC,Y,1,
165,DC-NORW,NP-SKU-00137,receipt,226.7,SUP014-DEL-79661,2025-01-05,07:43,UTC,Y,1,
166,DC-BHAM,NP-SKU-00114,write_off,433.1,SUP014-DEL-72898,2025-01-02,06:12,UTC,Y,1,
167,DC-BHAM,NP-SKU-00064,write_off,327.6,SUP006-DEL-28412,2025-01-02,13:20,UTC,Y,1,
168,DC-NORW,NP-SKU-00092,receipt,296.6,SUP019-DEL-92989,2025-01-04,21:02,UTC,Y,1,
169,DC-LEEDS,NP-SKU-00106,write_off,207.9,SUP005-DEL-11326,2025-01-07,16:34,UTC,Y,1,
170,DC-LEEDS,NP-SKU-00070,receipt,69.8,SUP016-DEL-48763,2025-01-03,20:23,UTC,Y,1,
171,DC-BRIS,NP-SKU-00041,receipt,46.1,SUP019-DEL-77209,2025-01-05,07:33,UTC,Y,1,
172,DC-MANC,NP-SKU-00129,receipt,237.0,SUP002-DEL-71946,2025-01-06,11:10,UTC,Y,1,
173,DC-MANC,NP-SKU-00097,receipt,27.9,SUP009-DEL-84937,2025-01-07,21:36,UTC,Y,1,
174,DC-GLAS,NP-SKU-00102,receipt,108.8,SUP003-DEL-75354,2025-01-05,22:09,UTC,Y,1,
175,DC-LEEDS,NP-SKU-00122,receipt,67.5,SUP017-DEL-24412,2025-01-02,20:45,UTC,Y,1,
176,DC-NORW,NP-SKU-00038,receipt,378.1,SUP005-DEL-61437,2025-01-05,13:52,UTC,Y,1,
177,DC-MANC,NP-SKU-00035,receipt,20.4,SUP009-DEL-55519,2025-01-02,21:51,UTC,Y,1,
178,DC-BRIS,NP-SKU-00114,write_off,431.3,SUP010-DEL-22617,2025-01-02,22:31,UTC,Y,1,
179,DC-NORW,NP-SKU-00014,receipt,121.1,SUP005-DEL-51754,2025-01-06,06:00,UTC,Y,1,
180,DC-NORW,NP-SKU-00034,transfer,261.3,SUP011-DEL-78341,2025-01-07,19:50,UTC,Y,1,
181,DC-BRIS,NP-SKU-00096,receipt,386.2,SUP003-DEL-55218,2025-01-07,11:39,UTC,Y,1,
182,DC-BHAM,NP-SKU-00010,write_off,182.6,SUP002-DEL-52859,2025-01-02,15:56,UTC,Y,1,
183,DC-LEEDS,NP-SKU-00020,receipt,331.7,SUP010-DEL-22730,2025-01-03,08:39,UTC,Y,1,
184,DC-BRIS,NP-SKU-00134,receipt,157.6,SUP004-DEL-70606,2025-01-07,13:09,UTC,Y,1,
185,DC-LEEDS,NP-SKU-00093,receipt,169.6,SUP017-DEL-43941,2025-01-06,19:04,UTC,Y,1,
186,DC-GLAS,NP-SKU-00126,receipt,178.4,SUP018-DEL-86765,2025-01-02,14:56,UTC,Y,1,
187,DC-BRIS,NP-SKU-00032,write_off,17.0,SUP020-DEL-15214,2025-01-07,08:56,UTC,Y,1,
188,DC-MANC,NP-SKU-00131,transfer,267.5,SUP019-DEL-93531,2025-01-02,18:45,UTC,Y,1,
189,DC-LEEDS,NP-SKU-00051,transfer,306.0,SUP010-DEL-68860,2025-01-04,09:00,UTC,Y,1,
190,DC-BHAM,NP-SKU-00087,transfer,134.3,SUP008-DEL-49329,2025-01-05,15:46,UTC,Y,1,
191,DC-LEEDS,NP-SKU-00149,receipt,44.6,SUP019-DEL-54471,2025-01-01,12:11,UTC,Y,1,
192,DC-NORW,NP-SKU-00111,receipt,112.8,SUP019-DEL-16055,2025-01-02,06:20,UTC,Y,1,
193,DC-BRIS,NP-SKU-00115,receipt,358.0,SUP007-DEL-80307,2025-01-01,13:49,UTC,Y,1,
194,DC-LEEDS,NP-SKU-00149,receipt,450.1,SUP008-DEL-24030,2025-01-04,16:03,UTC,Y,1,
195,DC-NORW,NP-SKU-00022,receipt,308.4,SUP020-DEL-16303,2025-01-01,18:11,UTC,Y,1,
196,DC-GLAS,NP-SKU-00145,receipt,412.6,SUP008-DEL-55770,2025-01-02,20:56,UTC,Y,1,
197,DC-BRIS,NP-SKU-00033,receipt,207.2,SUP015-DEL-50425,2025-01-05,18:29,UTC,Y,1,
198,DC-MANC,NP-SKU-00090,transfer,427.9,SUP020-DEL-89799,2025-01-07,22:14,UTC,Y,1,
199,DC-BRIS,NP-SKU-00142,receipt,192.8,SUP019-DEL-83297,2025-01-06,19:55,UTC,Y,1,
200,DC-MANC,NP-SKU-00113,write_off,154.2,SUP010-DEL-56938,2025-01-06,12:16,UTC,Y,1,
201,DC-MANC,NP-SKU-00025,receipt,34.5,SUP014-DEL-98229,2025-01-02,12:49,UTC,Y,1,
202,DC-BHAM,NP-SKU-00103,receipt,201.5,SUP015-DEL-87865,2025-01-04,20:14,UTC,Y,1,
203,DC-BHAM,NP-SKU-00144,transfer,296.0,SUP020-DEL-38512,2025-01-01,07:06,UTC,Y,1,
204,DC-MANC,NP-SKU-00126,write_off,123.5,SUP010-DEL-41645,2025-01-01,14:44,UTC,Y,1,
205,DC-GLAS,NP-SKU-00101,receipt,57.8,SUP015-DEL-32597,2025-01-03,12:35,UTC,Y,1,
206,DC-NORW,NP-SKU-00002,receipt,281.6,SUP017-DEL-38271,2025-01-02,17:09,UTC,Y,1,
207,DC-LEEDS,NP-SKU-00007,receipt,176.0,SUP004-DEL-18489,2025-01-03,12:33,UTC,Y,1,
208,DC-NORW,NP-SKU-00076,transfer,457.3,SUP007-DEL-52495,2025-01-03,15:24,UTC,Y,1,
209,DC-GLAS,NP-SKU-00023,write_off,207.6,SUP004-DEL-53993,2025-01-03,06:31,UTC,Y,1,
210,DC-GLAS,NP-SKU-00027,receipt,78.0,SUP014-DEL-71073,2025-01-07,17:04,UTC,Y,1,
211,DC-LEEDS,NP-SKU-00124,transfer,197.6,SUP015-DEL-89885,2025-01-04,19:12,UTC,Y,1,
212,DC-BRIS,NP-SKU-00067,receipt,430.8,SUP019-DEL-96560,2025-01-05,10:31,UTC,Y,1,
213,DC-MANC,NP-SKU-00044,transfer,273.5,SUP004-DEL-11874,2025-01-07,15:02,UTC,Y,1,
214,DC-BHAM,NP-SKU-00149,receipt,35.6,SUP013-DEL-50571,2025-01-01,16:42,UTC,Y,1,
215,DC-BHAM,NP-SKU-00138,receipt,225.4,SUP004-DEL-66245,2025-01-04,20:13,UTC,Y,1,
216,DC-LEEDS,NP-SKU-00016,transfer,10.4,SUP009-DEL-14981,2025-01-07,08:03,UTC,Y,1,
217,DC-LEEDS,NP-SKU-00009,transfer,291.3,SUP011-DEL-38659,2025-01-04,13:41,UTC,Y,1,
218,DC-NORW,NP-SKU-00131,receipt,437.4,SUP004-DEL-77591,2025-01-03,14:45,UTC,Y,1,
219,DC-BHAM,NP-SKU-00086,receipt,185.6,SUP020-DEL-10959,2025-01-01,20:30,UTC,Y,1,
220,DC-NORW,NP-SKU-00140,receipt,233.7,SUP004-DEL-17063,2025-01-05,18:17,UTC,Y,1,
221,DC-LEEDS,NP-SKU-00020,transfer,201.9,SUP012-DEL-52736,2025-01-07,06:10,UTC,Y,1,
222,DC-LEEDS,NP-SKU-00146,transfer,392.9,SUP002-DEL-89488,2025-01-03,09:53,UTC,Y,1,
223,DC-GLAS,NP-SKU-00081,write_off,299.9,SUP002-DEL-30093,2025-01-05,17:19,UTC,Y,1,
224,DC-LEEDS,NP-SKU-00096,receipt,59.5,SUP013-DEL-45871,2025-01-03,12:43,UTC,Y,1,
225,DC-LEEDS,NP-SKU-00072,transfer,373.8,SUP017-DEL-11836,2025-01-05,10:35,UTC,Y,1,
226,DC-BRIS,NP-SKU-00078,receipt,23.1,SUP018-DEL-98750,2025-01-02,11:34,UTC,Y,1,
227,DC-BRIS,NP-SKU-00100,receipt,66.2,SUP010-DEL-66954,2025-01-04,22:26,UTC,Y,1,
228,DC-GLAS,NP-SKU-00025,receipt,181.6,SUP001-DEL-24289,2025-01-05,15:14,UTC,Y,1,
