transaction_id,member_id,transaction_type,points,basket_value_gbp,store_id,channel,sku,transaction_at,created_at
74,81,redeem,198,,8,online,,2025-01-03 19:18:00,2025-01-03 19:18:00
7216,201,earn,360,111.79,13,in_store,NP-SKU-00015,2025-01-03 19:31:00,2025-01-03 19:31:00
9333,92,earn,480,30.28,6,in_store,NP-SKU-00077,2025-01-03 19:44:00,2025-01-03 19:44:00
9479,283,redeem,143,,15,online,,2025-01-03 19:50:00,2025-01-03 19:50:00
2752,470,earn,331,38.38,29,online,NP-SKU-00083,2025-01-03 20:08:00,2025-01-03 20:08:00
2060,128,earn,124,44.44,26,online,NP-SKU-00129,2025-01-03 21:55:00,2025-01-03 21:55:00
1555,470,redeem,103,,26,online,,2025-01-04 10:56:00,2025-01-04 10:56:00
2978,456,earn,223,126.69,3,click_collect,NP-SKU-00149,2025-01-04 11:16:00,2025-01-04 11:16:00
9112,354,earn,26,45.69,27,online,NP-SKU-00123,2025-01-04 11:27:00,2025-01-04 11:27:00
10255,174,redeem,227,,,in_store,,2025-01-04 12:12:00,2025-01-04 12:12:00
4865,117,redeem,249,,6,online,,2025-01-04 12:30:00,2025-01-04 12:30:00
13117,386,redeem,180,,1,in_store,,2025-01-04 12:40:00,2025-01-04 12:40:00
1746,18,earn,234,136.53,1,online,NP-SKU-00072,2025-01-04 13:47:00,2025-01-04 13:47:00
4323,470,redeem,237,,26,in_store,,2025-01-04 18:05:00,2025-01-04 18:05:00
12691,355,redeem,187,,9,in_store,,2025-01-04 21:06:00,2025-01-04 21:06:00
13324,208,redeem,194,,,click_collect,,2025-01-04 21:32:00,2025-01-04 21:32:00
8552,141,earn,336,169.91,27,online,NP-SKU-00090,2025-01-04 21:48:00,2025-01-04 21:48:00
5625,227,earn,294,38.79,8,online,NP-SKU-00006,2025-01-04 22:21:00,2025-01-04 22:21:00
6397,352,earn,381,157.62,27,click_collect,NP-SKU-00014,2025-01-05 11:04:00,2025-01-05 11:04:00
11657,164,earn,173,141.27,8,click_collect,NP-SKU-00069,2025-01-05 13:18:00,2025-01-05 13:18:00
2931,344,earn,191,146.97,11,in_store,NP-SKU-00033,2025-01-05 14:13:00,2025-01-05 14:13:00
12919,353,redeem,252,,,click_collect,,2025-01-05 14:17:00,2025-01-05 14:17:00
637,276,earn,463,166.08,16,online,NP-SKU-00048,2025-01-05 15:43:00,2025-01-05 15:43:00
344,30,redeem,240,,,in_store,,2025-01-05 15:50:00,2025-01-05 15:50:00
5467,151,earn,289,179.26,15,online,NP-SKU-00144,2025-01-05 16:54:00,2025-01-05 16:54:00
3651,466,earn,171,53.39,16,online,NP-SKU-00069,2025-01-05 17:05:00,2025-01-05 17:05:00
6365,228,earn,497,158.28,10,online,NP-SKU-00053,2025-01-05 17:05:00,2025-01-05 17:05:00
2847,240,earn,248,172.26,21,online,NP-SKU-00081,2025-01-05 17:58:00,2025-01-05 17:58:00
7892,112,earn,437,54.21,2,click_collect,NP-SKU-00093,2025-01-05 18:10:00,2025-01-05 18:10:00
3635,121,redeem,171,,30,click_collect,,2025-01-05 20:00:00,2025-01-05 20:00:00
11101,426,earn,240,74.09,4,in_store,NP-SKU-00104,2025-01-05 20:53:00,2025-01-05 20:53:00
4437,309,earn,344,54.31,30,online,NP-SKU-00004,2025-01-05 22:33:00,2025-01-05 22:33:00
3520,476,earn,321,41.81,6,click_collect,NP-SKU-00092,2025-01-05 22:46:00,2025-01-05 22:46:00
11877,358,redeem,251,,29,click_collect,,2025-01-06 08:20:00,2025-01-06 08:20:00
978,248,redeem,114,,,click_collect,,2025-01-06 08:34:00,2025-01-06 08:34:00
3113,33,earn,113,156.86,10,online,NP-SKU-00110,2025-01-06 08:57:00,2025-01-06 08:57:00
1168,140,earn,393,120.01,15,click_collect,NP-SKU-00082,2025-01-06 09:14:00,2025-01-06 09:14:00
5134,390,earn,63,12.79,21,click_collect,NP-SKU-00150,2025-01-06 09:20:00,2025-01-06 09:20:00
1794,126,earn,282,77.45,1,in_store,NP-SKU-00030,2025-01-06 09:24:00,2025-01-06 09:24:00
7399,292,earn,379,128.42,20,in_store,NP-SKU-00072,2025-01-06 09:40:00,2025-01-06 09:40:00
4074,77,earn,333,18.75,2,online,NP-SKU-00137,2025-01-06 09:57:00,2025-01-06 09:57:00
11523,68,redeem,114,,27,online,,2025-01-06 10:10:00,2025-01-06 10:10:00
3222,224,earn,86,113.38,4,click_collect,NP-SKU-00093,2025-01-06 10:13:00,2025-01-06 10:13:00
9198,79,earn,11,66.8,20,online,NP-SKU-00131,2025-01-06 10:13:00,2025-01-06 10:13:00
9673,73,redeem,292,,12,online,,2025-01-06 11:19:00,2025-01-06 11:19:00
11228,120,redeem,73,,8,click_collect,,2025-01-06 11:42:00,2025-01-06 11:42:00
7476,426,earn,319,129.38,10,online,NP-SKU-00015,2025-01-06 11:54:00,2025-01-06 11:54:00
5090,8,earn,193,117.41,10,online,NP-SKU-00027,2025-01-06 12:37:00,2025-01-06 12:37:00
867,93,earn,70,27.54,6,in_store,NP-SKU-00144,2025-01-06 12:54:00,2025-01-06 12:54:00
2140,437,earn,483,168.06,,online,NP-SKU-00010,2025-01-06 13:25:00,2025-01-06 13:25:00
8235,275,earn,307,170.89,14,in_store,NP-SKU-00056,2025-01-06 13:27:00,2025-01-06 13:27:00
13138,269,earn,190,176.74,,in_store,NP-SKU-00026,2025-01-06 13:29:00,2025-01-06 13:29:00
8429,434,earn,438,89.65,,in_store,NP-SKU-00068,2025-01-06 15:58:00,2025-01-06 15:58:00
3664,306,redeem,299,,14,click_collect,,2025-01-06 18:34:00,2025-01-06 18:34:00
13207,270,earn,137,127.77,,online,NP-SKU-00085,2025-01-06 19:33:00,2025-01-06 19:33:00
8635,20,earn,157,46.58,12,click_collect,NP-SKU-00146,2025-01-06 21:36:00,2025-01-06 21:36:00
8789,5,redeem,108,,1,online,,2025-01-06 22:28:00,2025-01-06 22:28:00
3949,417,earn,447,118.67,30,online,NP-SKU-00104,2025-01-06 22:58:00,2025-01-06 22:58:00
516,308,earn,146,115.01,7,in_store,NP-SKU-00048,2025-01-07 10:03:00,2025-01-07 10:03:00
12450,377,earn,254,93.58,21,in_store,NP-SKU-00036,2025-01-07 11:00:00,2025-01-07 11:00:00
7073,434,earn,354,61.05,27,click_collect,NP-SKU-00023,2025-01-07 12:00:00,2025-01-07 12:00:00
11589,151,earn,328,111.63,20,in_store,NP-SKU-00102,2025-01-07 12:18:00,2025-01-07 12:18:00
8132,3,earn,199,57.98,18,online,NP-SKU-00150,2025-01-07 13:20:00,2025-01-07 13:20:00
8355,80,earn,246,121.06,17,click_collect,NP-SKU-00024,2025-01-07 13:33:00,2025-01-07 13:33:00
5993,36,redeem,160,,14,online,,2025-01-07 14:14:00,2025-01-07 14:14:00
4904,52,redeem,83,,,click_collect,,2025-01-07 14:35:00,2025-01-07 14:35:00
7527,80,redeem,225,,28,click_collect,,2025-01-07 14:44:00,2025-01-07 14:44:00
1026,480,earn,347,25.07,,click_collect,NP-SKU-00031,2025-01-07 16:06:00,2025-01-07 16:06:00
6300,264,redeem,170,,28,click_collect,,2025-01-07 17:33:00,2025-01-07 17:33:00
2932,220,earn,386,111.0,30,in_store,NP-SKU-00060,2025-01-07 18:08:00,2025-01-07 18:08:00
1219,151,earn,19,44.42,9,in_store,NP-SKU-00150,2025-01-07 18:49:00,2025-01-07 18:49:00
8384,142,earn,58,10.07,10,click_collect,NP-SKU-00024,2025-01-07 18:52:00,2025-01-07 18:52:00
835,158,earn,11,17.22,17,online,NP-SKU-00074,2025-01-07 19:27:00,2025-01-07 19:27:00
2168,473,earn,309,35.03,6,in_store,NP-SKU-00053,2025-01-07 19:44:00,2025-01-07 19:44:00
3290,122,redeem,243,,7,online,,2025-01-07 19:55:00,2025-01-07 19:55:00
6180,140,earn,138,57.31,,in_store,NP-SKU-00006,2025-01-07 22:37:00,2025-01-07 22:37:00
8950,365,redeem,140,,29,in_store,,2025-01-08 08:54:00,2025-01-08 08:54:00
125,29,redeem,242,,10,online,,2025-01-08 09:00:00,2025-01-08 09:00:00
5632,34,earn,104,77.78,10,in_store,NP-SKU-00126,2025-01-08 09:01:00,2025-01-08 09:01:00
10691,400,earn,314,35.33,14,online,NP-SKU-00122,2025-01-08 10:31:00,2025-01-08 10:31:00
3099,148,earn,180,142.88,12,online,NP-SKU-00095,2025-01-08 11:04:00,2025-01-08 11:04:00
4248,293,redeem,222,,12,in_store,,2025-01-08 11:13:00,2025-01-08 11:13:00
12656,183,earn,49,76.23,9,in_store,NP-SKU-00069,2025-01-08 11:25:00,2025-01-08 11:25:00
8638,381,earn,51,157.63,3,click_collect,NP-SKU-00064,2025-01-08 13:46:00,2025-01-08 13:46:00
4288,242,earn,101,46.61,15,online,NP-SKU-00056,2025-01-08 15:15:00,2025-01-08 15:15:00
1487,429,earn,52,152.53,18,in_store,NP-SKU-00035,2025-01-08 15:31:00,2025-01-08 15:31:00
5636,297,earn,135,158.01,16,in_store,NP-SKU-00087,2025-01-08 16:56:00,2025-01-08 16:56:00
335,53,redeem,292,,18,click_collect,,2025-01-08 17:38:00,2025-01-08 17:38:00
8321,139,earn,293,32.87,,in_store,NP-SKU-00132,2025-01-08 20:12:00,2025-01-08 20:12:00
3454,11,redeem,264,,11,online,,2025-01-08 20:34:00,2025-01-08 20:34:00
2243,203,earn,34,37.5,24,click_collect,NP-SKU-00123,2025-01-08 21:30:00,2025-01-08 21:30:00
5684,366,earn,34,131.72,10,click_collect,NP-SKU-00021,2025-01-08 22:05:00,2025-01-08 22:05:00
10940,417,earn,16,121.89,21,in_store,NP-SKU-00126,2025-01-08 22:37:00,2025-01-08 22:37:00
9629,83,earn,155,144.76,,online,NP-SKU-00004,2025-01-09 09:21:00,2025-01-09 09:21:00
8454,461,earn,18,150.44,13,in_store,NP-SKU-00136,2025-01-09 09:27:00,2025-01-09 09:27:00
5177,86,earn,148,171.53,30,in_store,NP-SKU-00105,2025-01-09 09:43:00,2025-01-09 09:43:00
2385,196,redeem,61,,21,online,,2025-01-09 09:53:00,2025-01-09 09:53:00
894,220,earn,148,19.46,20,in_store,NP-SKU-00131,2025-01-09 10:15:00,2025-01-09 10:15:00
10153,359,redeem,241,,25,online,,2025-01-09 10:31:00,2025-01-09 10:31:00
754,91,earn,469,82.8,1,online,NP-SKU-00092,2025-01-09 11:05:00,2025-01-09 11:05:00
12847,454,redeem,127,,8,online,,2025-01-09 11:10:00,2025-01-09 11:10:00
6501,320,redeem,118,,27,in_store,,2025-01-09 11:47:00,2025-01-09 11:47:00
11708,113,earn,262,121.91,,click_collect,NP-SKU-00130,2025-01-09 12:17:00,2025-01-09 12:17:00
9407,240,earn,156,91.55,,online,NP-SKU-00108,2025-01-09 12:19:00,2025-01-09 12:19:00
5086,129,earn,424,20.25,29,click_collect,NP-SKU-00098,2025-01-09 12:38:00,2025-01-09 12:38:00
9355,297,redeem,155,,14,online,,2025-01-09 13:01:00,2025-01-09 13:01:00
9792,69,earn,226,88.91,14,online,NP-SKU-00096,2025-01-09 13:02:00,2025-01-09 13:02:00
4934,97,earn,95,156.11,28,online,NP-SKU-00114,2025-01-09 14:47:00,2025-01-09 14:47:00
4903,279,earn,268,64.28,15,in_store,NP-SKU-00002,2025-01-09 15:03:00,2025-01-09 15:03:00
5287,157,earn,420,24.2,15,online,NP-SKU-00049,2025-01-09 15:32:00,2025-01-09 15:32:00
1092,19,earn,194,170.05,9,online,NP-SKU-00039,2025-01-09 15:52:00,2025-01-09 15:52:00
2334,353,earn,168,47.68,14,online,NP-SKU-00025,2025-01-09 16:12:00,2025-01-09 16:12:00
8612,311,earn,145,165.78,,click_collect,NP-SKU-00072,2025-01-09 17:23:00,2025-01-09 17:23:00
7097,349,redeem,280,,24,click_collect,,2025-01-09 17:32:00,2025-01-09 17:32:00
9796,141,earn,203,78.0,25,in_store,NP-SKU-00114,2025-01-09 17:41:00,2025-01-09 17:41:00
10418,462,redeem,265,,28,online,,2025-01-09 17:52:00,2025-01-09 17:52:00
10066,120,redeem,205,,16,click_collect,,2025-01-09 18:08:00,2025-01-09 18:08:00
12090,184,redeem,254,,,in_store,,2025-01-09 18:09:00,2025-01-09 18:09:00
1995,110,earn,216,78.89,17,in_store,NP-SKU-00068,2025-01-09 18:16:00,2025-01-09 18:16:00
5429,386,earn,466,106.22,14,online,NP-SKU-00110,2025-01-09 18:16:00,2025-01-09 18:16:00
10948,246,earn,39,94.32,8,online,NP-SKU-00078,2025-01-09 18:26:00,2025-01-09 18:26:00
2228,223,redeem,233,,3,click_collect,,2025-01-09 18:27:00,2025-01-09 18:27:00
10597,296,redeem,246,,28,online,,2025-01-09 18:42:00,2025-01-09 18:42:00
10182,17,earn,491,17.91,27,online,NP-SKU-00139,2025-01-09 18:55:00,2025-01-09 18:55:00
3512,46,redeem,293,,,in_store,,2025-01-09 19:16:00,2025-01-09 19:16:00
4944,124,redeem,207,,,online,,2025-01-09 19:22:00,2025-01-09 19:22:00
7220,133,redeem,220,,11,click_collect,,2025-01-09 19:55:00,2025-01-09 19:55:00
8806,56,earn,211,11.17,3,click_collect,NP-SKU-00018,2025-01-09 20:40:00,2025-01-09 20:40:00
9029,40,redeem,107,,,online,,2025-01-09 20:43:00,2025-01-09 20:43:00
2680,141,redeem,277,,3,online,,2025-01-09 21:14:00,2025-01-09 21:14:00
8448,103,redeem,256,,28,in_store,,2025-01-09 21:35:00,2025-01-09 21:35:00
2213,243,earn,298,161.15,23,online,NP-SKU-00082,2025-01-09 22:19:00,2025-01-09 22:19:00
9950,357,earn,257,111.0,8,click_collect,NP-SKU-00089,2025-01-09 22:31:00,2025-01-09 22:31:00
8974,442,earn,428,25.39,1,click_collect,NP-SKU-00127,2025-01-10 08:29:00,2025-01-10 08:29:00
4542,403,earn,367,94.87,2,online,NP-SKU-00107,2025-01-10 08:49:00,2025-01-10 08:49:00
7398,101,redeem,223,,29,in_store,,2025-01-10 09:11:00,2025-01-10 09:11:00
3215,229,redeem,176,,16,click_collect,,2025-01-10 09:48:00,2025-01-10 09:48:00
11713,169,redeem,161,,21,click_collect,,2025-01-10 10:05:00,2025-01-10 10:05:00
2029,366,redeem,100,,22,click_collect,,2025-01-10 10:55:00,2025-01-10 10:55:00
11678,433,redeem,294,,28,click_collect,,2025-01-10 12:33:00,2025-01-10 12:33:00
333,496,redeem,212,,1,in_store,,2025-01-10 12:38:00,2025-01-10 12:38:00
9647,140,earn,106,25.01,15,online,NP-SKU-00018,2025-01-10 12:52:00,2025-01-10 12:52:00
8673,381,earn,364,162.81,18,online,NP-SKU-00099,2025-01-10 14:52:00,2025-01-10 14:52:00
7607,221,redeem,189,,20,click_collect,,2025-01-10 16:04:00,2025-01-10 16:04:00
12016,448,earn,198,19.17,20,click_collect,NP-SKU-00007,2025-01-10 16:18:00,2025-01-10 16:18:00
10258,481,redeem,75,,,in_store,,2025-01-10 17:13:00,2025-01-10 17:13:00
357,24,redeem,212,,29,online,,2025-01-10 17:17:00,2025-01-10 17:17:00
94,342,earn,452,123.58,,online,NP-SKU-00089,2025-01-10 17:19:00,2025-01-10 17:19:00
13401,80,redeem,211,,4,in_store,,2025-01-10 17:24:00,2025-01-10 17:24:00
1007,348,earn,296,90.45,4,in_store,NP-SKU-00005,2025-01-10 17:43:00,2025-01-10 17:43:00
4322,313,earn,166,155.25,,online,NP-SKU-00027,2025-01-10 17:52:00,2025-01-10 17:52:00
13353,145,earn,192,176.38,24,in_store,NP-SKU-00062,2025-01-10 19:20:00,2025-01-10 19:20:00
8347,425,redeem,279,,9,in_store,,2025-01-10 19:33:00,2025-01-10 19:33:00
5512,471,redeem,126,,16,in_store,,2025-01-10 20:20:00,2025-01-10 20:20:00
8577,122,earn,130,148.67,,online,NP-SKU-00068,2025-01-10 20:23:00,2025-01-10 20:23:00
957,200,earn,107,131.48,5,online,NP-SKU-00082,2025-01-11 08:09:00,2025-01-11 08:09:00
10040,218,earn,157,152.63,15,online,NP-SKU-00122,2025-01-11 08:15:00,2025-01-11 08:15:00
9226,302,earn,57,136.67,,in_store,NP-SKU-00066,2025-01-11 08:29:00,2025-01-11 08:29:00
1052,48,redeem,238,,18,click_collect,,2025-01-11 08:51:00,2025-01-11 08:51:00
4444,98,earn,493,99.92,14,click_collect,NP-SKU-00044,2025-01-11 10:13:00,2025-01-11 10:13:00
6055,423,redeem,179,,19,online,,2025-01-11 10:29:00,2025-01-11 10:29:00
10946,36,earn,463,150.97,13,in_store,NP-SKU-00107,2025-01-11 12:05:00,2025-01-11 12:05:00
1944,202,redeem,80,,2,in_store,,2025-01-11 14:08:00,2025-01-11 14:08:00
2767,330,earn,434,63.73,5,in_store,NP-SKU-00035,2025-01-11 14:31:00,2025-01-11 14:31:00
911,30,redeem,233,,9,in_store,,2025-01-11 16:42:00,2025-01-11 16:42:00
8737,320,redeem,101,,7,click_collect,,2025-01-11 18:05:00,2025-01-11 18:05:00
9889,401,redeem,110,,,click_collect,,2025-01-11 18:10:00,2025-01-11 18:10:00
7770,173,earn,174,124.69,11,in_store,NP-SKU-00111,2025-01-11 19:15:00,2025-01-11 19:15:00
7092,4,redeem,183,,7,online,,2025-01-11 19:34:00,2025-01-11 19:34:00
12447,137,earn,45,87.43,1,in_store,NP-SKU-00133,2025-01-11 20:08:00,2025-01-11 20:08:00
11479,224,earn,322,156.38,9,online,NP-SKU-00082,2025-01-11 21:21:00,2025-01-11 21:21:00
13231,441,earn,260,111.02,2,click_collect,NP-SKU-00049,2025-01-11 22:28:00,2025-01-11 22:28:00
12312,248,earn,215,33.86,8,click_collect,NP-SKU-00053,2025-01-12 08:15:00,2025-01-12 08:15:00
11153,390,earn,478,176.56,1,in_store,NP-SKU-00118,2025-01-12 09:13:00,2025-01-12 09:13:00
12602,123,redeem,252,,6,online,,2025-01-12 10:36:00,2025-01-12 10:36:00
6162,258,redeem,119,,16,online,,2025-01-12 11:01:00,2025-01-12 11:01:00
9055,89,redeem,288,,14,in_store,,2025-01-12 11:42:00,2025-01-12 11:42:00
1157,233,redeem,150,,10,online,,2025-01-12 12:47:00,2025-01-12 12:47:00
6141,450,earn,271,94.67,21,online,NP-SKU-00108,2025-01-12 12:47:00,2025-01-12 12:47:00
12526,405,redeem,112,,27,click_collect,,2025-01-12 12:55:00,2025-01-12 12:55:00
4392,99,earn,371,19.01,8,in_store,NP-SKU-00024,2025-01-12 13:10:00,2025-01-12 13:10:00
9575,497,earn,433,87.19,,in_store,NP-SKU-00101,2025-01-12 13:32:00,2025-01-12 13:32:00
11075,344,redeem,97,,,in_store,,2025-01-12 14:07:00,2025-01-12 14:07:00
3137,207,redeem,133,,17,in_store,,2025-01-12 14:52:00,2025-01-12 14:52:00
3916,277,earn,76,15.21,,click_collect,NP-SKU-00057,2025-01-12 16:33:00,2025-01-12 16:33:00
5037,18,earn,465,128.71,17,click_collect,NP-SKU-00091,2025-01-12 16:49:00,2025-01-12 16:49:00
938,306,earn,102,40.3,8,online,NP-SKU-00022,2025-01-12 17:36:00,2025-01-12 17:36:00
9255,148,earn,129,95.35,,click_collect,NP-SKU-00040,2025-01-12 18:24:00,2025-01-12 18:24:00
7083,309,earn,321,7.45,8,in_store,NP-SKU-00134,2025-01-12 19:09:00,2025-01-12 19:09:00
12497,404,earn,53,108.91,21,click_collect,NP-SKU-00076,2025-01-12 19:46:00,2025-01-12 19:46:00
12953,325,earn,344,145.63,7,online,NP-SKU-00027,2025-01-12 19:48:00,2025-01-12 19:48:00
279,360,earn,266,142.02,6,online,NP-SKU-00033,2025-01-12 19:49:00,2025-01-12 19:49:00
7624,69,redeem,255,,12,online,,2025-01-12 20:06:00,2025-01-12 20:06:00
566,503,earn,61,83.04,10,online,NP-SKU-00050,2025-01-13 08:01:00,2025-01-13 08:01:00
9886,201,earn,47,103.03,21,click_collect,NP-SKU-00121,2025-01-13 08:18:00,2025-01-13 08:18:00
3547,485,redeem,69,,25,in_store,,2025-01-13 08:42:00,2025-01-13 08:42:00
1983,384,redeem,130,,,online,,2025-01-13 08:47:00,2025-01-13 08:47:00
12405,291,earn,419,138.67,17,online,NP-SKU-00013,2025-01-13 10:04:00,2025-01-13 10:04:00
6584,356,earn,253,158.27,25,online,NP-SKU-00135,2025-01-13 10:26:00,2025-01-13 10:26:00
3767,239,earn,127,174.23,,online,NP-SKU-00116,2025-01-13 11:11:00,2025-01-13 11:11:00
9148,220,redeem,157,,25,click_collect,,2025-01-13 12:40:00,2025-01-13 12:40:00
1194,465,earn,450,134.74,2,online,NP-SKU-00026,2025-01-13 13:32:00,2025-01-13 13:32:00
3345,367,redeem,270,,30,online,,2025-01-13 14:11:00,2025-01-13 14:11:00
8521,220,earn,14,71.68,,click_collect,NP-SKU-00085,2025-01-13 14:11:00,2025-01-13 14:11:00
515,130,earn,276,6.01,8,in_store,NP-SKU-00122,2025-01-13 15:26:00,2025-01-13 15:26:00
7942,203,earn,417,106.19,15,in_store,NP-SKU-00053,2025-01-13 15:53:00,2025-01-13 15:53:00
1170,286,earn,180,82.77,24,online,NP-SKU-00054,2025-01-13 16:44:00,2025-01-13 16:44:00
1907,170,earn,404,6.81,22,online,NP-SKU-00130,2025-01-13 18:22:00,2025-01-13 18:22:00
6683,138,earn,372,102.53,24,online,NP-SKU-00139,2025-01-13 19:28:00,2025-01-13 19:28:00
1338,229,redeem,72,,30,online,,2025-01-13 19:43:00,2025-01-13 19:43:00
