order_id,order_ref,customer_id,store_id,order_channel,order_status,order_date,completed_at,total_amount,discount_amount,vat_amount,payment_method,payment_reference,loyalty_points_earned,is_returned,created_at
16,NP-2025-0000016,,8,in_store,completed,2025-01-05 09:27:00,2025-01-05 10:01:00,36.93,3.29,2.46,online,TXN98243507,44,False,2025-01-05 09:27:00
17,NP-2025-0000017,,22,in_store,completed,2025-01-05 21:18:00,2025-01-05 21:45:00,172.82,8.0,11.53,contactless,TXN59303460,207,False,2025-01-05 21:18:00
18,NP-2025-0000018,200,1,in_store,returned,2025-01-05 19:52:00,2025-01-05 20:13:00,54.24,0.22,3.62,card,TXN85726861,65,False,2025-01-05 19:52:00
19,NP-2025-0000019,142,1,in_store,completed,2025-01-05 07:58:00,2025-01-05 08:22:00,86.62,5.2,5.78,online,TXN71518719,103,False,2025-01-05 07:58:00
20,NP-2025-0000020,78,12,click_collect,cancelled,2025-01-06 17:57:00,2025-01-06 18:35:00,94.54,3.85,6.31,card,TXN98035991,113,False,2025-01-06 17:57:00
21,NP-2025-0000021,248,13,in_store,completed,2025-01-06 14:50:00,2025-01-06 15:30:00,166.57,13.17,11.11,card,TXN96588420,199,False,2025-01-06 14:50:00
22,NP-2025-0000022,,2,in_store,completed,2025-01-06 10:44:00,2025-01-06 10:56:00,107.08,2.98,7.14,contactless,TXN19069088,128,False,2025-01-06 10:44:00
23,NP-2025-0000023,387,14,in_store,completed,2025-01-07 21:20:00,2025-01-07 21:25:00,23.0,1.69,1.53,card,TXN61550809,27,False,2025-01-07 21:20:00
24,NP-2025-0000024,,23,in_store,completed,2025-01-07 20:48:00,2025-01-07 21:14:00,166.58,2.66,11.11,card,TXN24450015,199,False,2025-01-07 20:48:00
25,NP-2025-0000025,223,27,in_store,returned,2025-01-07 12:16:00,2025-01-07 12:30:00,44.07,0.45,2.94,online,TXN31755295,52,True,2025-01-07 12:16:00
26,NP-2025-0000026,280,28,in_store,completed,2025-01-08 12:02:00,2025-01-08 12:25:00,67.6,1.5,4.51,contactless,TXN86275267,81,False,2025-01-08 12:02:00
27,NP-2025-0000027,,29,click_collect,returned,2025-01-08 12:53:00,2025-01-08 13:03:00,92.4,8.89,6.16,card,TXN93010827,110,False,2025-01-08 12:53:00
28,NP-2025-0000028,,2,in_store,returned,2025-01-08 08:36:00,2025-01-08 09:12:00,22.21,0.88,1.48,contactless,TXN40947052,26,False,2025-01-08 08:36:00
29,NP-2025-0000029,39,18,in_store,returned,2025-01-09 14:24:00,2025-01-09 14:41:00,157.61,16.14,10.51,card,TXN48663966,189,False,2025-01-09 14:24:00
30,NP-2025-0000030,,1,in_store,completed,2025-01-09 18:39:00,2025-01-09 19:02:00,106.78,5.4,7.12,card,TXN97675315,128,False,2025-01-09 18:39:00
31,NP-2025-0000031,121,16,in_store,completed,2025-01-09 10:13:00,2025-01-09 10:51:00,166.69,18.09,11.12,online,TXN18365590,200,False,2025-01-09 10:13:00
32,NP-2025-0000032,139,24,in_store,completed,2025-01-10 17:04:00,2025-01-10 17:12:00,160.26,0.68,10.69,contactless,TXN27376441,192,False,2025-01-10 17:04:00
33,NP-2025-0000033,,25,in_store,completed,2025-01-10 19:30:00,2025-01-10 20:06:00,8.26,0.6,0.55,card,TXN13537149,9,False,2025-01-10 19:30:00
34,NP-2025-0000034,,18,click_collect,completed,2025-01-10 21:03:00,2025-01-10 21:12:00,126.55,6.65,8.44,contactless,TXN67288633,151,False,2025-01-10 21:03:00
35,NP-2025-0000035,,1,in_store,completed,2025-01-11 17:12:00,2025-01-11 17:40:00,46.3,4.15,3.09,card,TXN89002900,55,False,2025-01-11 17:12:00
36,NP-2025-0000036,93,10,in_store,completed,2025-01-11 06:55:00,2025-01-11 07:17:00,17.95,0.75,1.2,card,TXN68861974,21,False,2025-01-11 06:55:00
37,NP-2025-0000037,40,9,click_collect,returned,2025-01-11 15:08:00,2025-01-11 15:23:00,119.91,7.12,8.0,online,TXN20308436,143,False,2025-01-11 15:08:00
38,NP-2025-0000038,126,17,in_store,completed,2025-01-11 13:28:00,2025-01-11 13:50:00,141.43,11.84,9.43,card,TXN97730595,169,False,2025-01-11 13:28:00
39,NP-2025-0000039,431,17,click_collect,completed,2025-01-11 17:57:00,2025-01-11 18:18:00,53.6,4.77,3.58,card,TXN28405476,64,False,2025-01-11 17:57:00
40,NP-2025-0000040,11,16,click_collect,completed,2025-01-12 10:02:00,2025-01-12 10:21:00,118.56,3.95,7.91,contactless,TXN25332850,142,False,2025-01-12 10:02:00
41,NP-2025-0000041,228,2,click_collect,completed,2025-01-12 07:17:00,2025-01-12 07:32:00,91.44,4.16,6.1,contactless,TXN61628627,109,False,2025-01-12 07:17:00
42,NP-2025-0000042,473,27,in_store,completed,2025-01-12 15:02:00,2025-01-12 15:41:00,168.98,4.39,11.27,cash,TXN55126455,202,True,2025-01-12 15:02:00
43,NP-2025-0000043,488,24,in_store,cancelled,2025-01-12 19:50:00,2025-01-12 20:10:00,146.2,15.06,9.75,cash,TXN62091317,175,False,2025-01-12 19:50:00
44,NP-2025-0000044,382,30,in_store,completed,2025-01-12 19:36:00,2025-01-12 19:46:00,33.03,3.6,2.2,contactless,TXN72724302,39,False,2025-01-12 19:36:00
45,NP-2025-0000045,316,9,in_store,completed,2025-01-13 08:15:00,2025-01-13 08:34:00,63.74,5.04,4.25,contactless,TXN15181637,76,False,2025-01-13 08:15:00
46,NP-2025-0000046,237,1,in_store,completed,2025-01-13 09:19:00,2025-01-13 09:21:00,151.22,8.46,10.09,card,TXN69566993,181,False,2025-01-13 09:19:00
47,NP-2025-0000047,,11,in_store,completed,2025-01-13 12:26:00,2025-01-13 12:56:00,53.02,1.14,3.54,cash,TXN84014080,63,False,2025-01-13 12:26:00
48,NP-2025-0000048,336,2,in_store,completed,2025-01-14 14:55:00,2025-01-14 15:04:00,115.12,9.04,7.68,card,TXN92939751,138,False,2025-01-14 14:55:00
49,NP-2025-0000049,500,9,in_store,completed,2025-01-14 16:02:00,2025-01-14 16:47:00,15.17,1.54,1.01,online,TXN44769739,18,False,2025-01-14 16:02:00
50,NP-2025-0000050,,7,click_collect,completed,2025-01-14 13:22:00,2025-01-14 14:00:00,24.36,1.09,1.62,card,TXN41806744,29,False,2025-01-14 13:22:00
51,NP-2025-0000051,168,20,click_collect,completed,2025-01-15 08:41:00,2025-01-15 09:04:00,158.21,18.51,10.55,card,TXN13314453,189,False,2025-01-15 08:41:00
52,NP-2025-0000052,477,5,in_store,returned,2025-01-15 21:18:00,2025-01-15 21:21:00,32.63,0.42,2.18,card,TXN49040263,39,False,2025-01-15 21:18:00
53,NP-2025-0000053,17,22,in_store,cancelled,2025-01-15 22:45:00,2025-01-15 22:56:00,169.46,7.75,11.3,contactless,TXN88206824,203,False,2025-01-15 22:45:00
54,NP-2025-0000054,281,24,in_store,completed,2025-01-16 08:59:00,2025-01-16 09:35:00,103.73,9.12,6.92,cash,TXN94600705,124,False,2025-01-16 08:59:00
55,NP-2025-0000055,151,30,click_collect,completed,2025-01-16 21:42:00,2025-01-16 22:05:00,60.12,1.75,4.01,card,TXN87207907,72,False,2025-01-16 21:42:00
56,NP-2025-0000056,228,24,in_store,completed,2025-01-16 13:29:00,2025-01-16 13:54:00,135.81,1.3,9.06,card,TXN42352710,162,False,2025-01-16 13:29:00
57,NP-2025-0000057,118,19,click_collect,completed,2025-01-17 17:41:00,2025-01-17 18:17:00,110.72,3.25,7.39,contactless,TXN66217126,132,False,2025-01-17 17:41:00
58,NP-2025-0000058,210,14,in_store,returned,2025-01-17 14:50:00,2025-01-17 15:01:00,64.45,4.45,4.3,card,TXN20939544,77,False,2025-01-17 14:50:00
59,NP-2025-0000059,135,25,click_collect,returned,2025-01-17 11:56:00,2025-01-17 12:28:00,7.22,0.64,0.48,card,TXN66186977,8,False,2025-01-17 11:56:00
60,NP-2025-0000060,444,17,in_store,completed,2025-01-18 19:01:00,2025-01-18 19:30:00,178.23,7.58,11.89,card,TXN79108317,213,False,2025-01-18 19:01:00
61,NP-2025-0000061,312,20,in_store,completed,2025-01-18 15:07:00,2025-01-18 15:11:00,162.0,1.43,10.81,card,TXN89386833,194,False,2025-01-18 15:07:00
62,NP-2025-0000062,388,16,click_collect,cancelled,2025-01-18 19:40:00,2025-01-18 19:50:00,134.49,11.84,8.97,contactless,TXN48827999,161,False,2025-01-18 19:40:00
63,NP-2025-0000063,233,13,in_store,completed,2025-01-18 10:57:00,2025-01-18 11:27:00,108.67,2.3,7.25,card,TXN97161631,130,False,2025-01-18 10:57:00
64,NP-2025-0000064,266,29,in_store,returned,2025-01-18 09:14:00,2025-01-18 09:53:00,91.07,5.55,6.07,card,TXN85716426,109,False,2025-01-18 09:14:00
65,NP-2025-0000065,417,24,in_store,cancelled,2025-01-19 16:24:00,2025-01-19 16:39:00,137.41,7.1,9.17,card,TXN15628343,164,False,2025-01-19 16:24:00
66,NP-2025-0000066,250,15,in_store,completed,2025-01-19 09:22:00,2025-01-19 09:34:00,33.56,1.16,2.24,card,TXN46755323,40,False,2025-01-19 09:22:00
67,NP-2025-0000067,430,17,in_store,completed,2025-01-19 13:42:00,2025-01-19 13:45:00,29.25,2.1,1.95,card,TXN84110122,35,False,2025-01-19 13:42:00
68,NP-2025-0000068,219,24,in_store,completed,2025-01-19 06:31:00,2025-01-19 07:06:00,69.35,1.05,4.63,card,TXN86660490,83,False,2025-01-19 06:31:00
69,NP-2025-0000069,143,24,click_collect,cancelled,2025-01-19 09:28:00,2025-01-19 09:37:00,91.07,10.58,6.07,card,TXN28363405,109,False,2025-01-19 09:28:00
70,NP-2025-0000070,323,24,in_store,returned,2025-01-20 08:20:00,2025-01-20 09:05:00,93.49,8.72,6.24,card,TXN70862915,112,False,2025-01-20 08:20:00
71,NP-2025-0000071,98,27,in_store,returned,2025-01-20 07:27:00,2025-01-20 08:11:00,168.13,16.9,11.21,cash,TXN52617779,201,False,2025-01-20 07:27:00
72,NP-2025-0000072,136,16,click_collect,completed,2025-01-20 13:08:00,2025-01-20 13:41:00,157.56,15.39,10.51,card,TXN36263497,189,False,2025-01-20 13:08:00
73,NP-2025-0000073,2,14,in_store,completed,2025-01-21 10:12:00,2025-01-21 10:45:00,171.37,11.47,11.43,online,TXN38747971,205,False,2025-01-21 10:12:00
74,NP-2025-0000074,121,21,in_store,completed,2025-01-21 07:26:00,2025-01-21 07:58:00,112.15,7.14,7.48,online,TXN88369591,134,False,2025-01-21 07:26:00
75,NP-2025-0000075,201,20,in_store,completed,2025-01-21 13:56:00,2025-01-21 14:32:00,121.73,7.03,8.12,contactless,TXN94560859,146,False,2025-01-21 13:56:00
76,NP-2025-0000076,60,6,click_collect,completed,2025-01-22 15:26:00,2025-01-22 15:48:00,61.61,4.88,4.11,online,TXN67024453,73,False,2025-01-22 15:26:00
77,NP-2025-0000077,211,22,click_collect,completed,2025-01-22 10:49:00,2025-01-22 10:52:00,151.94,5.3,10.13,contactless,TXN90672745,182,False,2025-01-22 10:49:00
78,NP-2025-0000078,201,26,in_store,completed,2025-01-22 07:35:00,2025-01-22 08:04:00,50.41,2.41,3.36,card,TXN65194233,60,False,2025-01-22 07:35:00
79,NP-2025-0000079,230,14,in_store,completed,2025-01-23 21:46:00,2025-01-23 22:24:00,64.14,6.74,4.28,card,TXN51407598,76,False,2025-01-23 21:46:00
80,NP-2025-0000080,47,25,in_store,cancelled,2025-01-23 16:08:00,2025-01-23 16:31:00,171.27,18.75,11.42,card,TXN60893769,205,False,2025-01-23 16:08:00
81,NP-2025-0000081,430,18,in_store,completed,2025-01-23 07:33:00,2025-01-23 07:49:00,68.05,2.37,4.54,card,TXN31071231,81,False,2025-01-23 07:33:00
82,NP-2025-0000082,19,28,in_store,completed,2025-01-24 16:26:00,2025-01-24 17:01:00,101.54,1.25,6.77,card,TXN11830849,121,False,2025-01-24 16:26:00
83,NP-2025-0000083,396,23,in_store,completed,2025-01-24 07:10:00,2025-01-24 07:14:00,57.41,1.88,3.83,card,TXN94765944,68,False,2025-01-24 07:10:00
84,NP-2025-0000084,259,24,in_store,cancelled,2025-01-24 18:08:00,2025-01-24 18:36:00,155.78,0.38,10.39,card,TXN19917380,186,False,2025-01-24 18:08:00
85,NP-2025-0000085,402,11,click_collect,completed,2025-01-25 09:47:00,2025-01-25 10:21:00,38.6,3.44,2.57,cash,TXN51901392,46,False,2025-01-25 09:47:00
86,NP-2025-0000086,193,10,in_store,completed,2025-01-25 12:06:00,2025-01-25 12:13:00,174.61,4.66,11.65,cash,TXN73270284,209,False,2025-01-25 12:06:00
87,NP-2025-0000087,488,12,in_store,returned,2025-01-25 21:18:00,2025-01-25 21:26:00,71.61,3.89,4.78,contactless,TXN62834161,85,False,2025-01-25 21:18:00
88,NP-2025-0000088,56,21,in_store,completed,2025-01-25 18:49:00,2025-01-25 19:12:00,82.96,1.43,5.53,contactless,TXN85585152,99,False,2025-01-25 18:49:00
89,NP-2025-0000089,128,3,in_store,completed,2025-01-25 09:35:00,2025-01-25 10:02:00,40.95,3.03,2.73,contactless,TXN89646079,49,False,2025-01-25 09:35:00
90,NP-2025-0000090,428,5,click_collect,completed,2025-01-26 07:49:00,2025-01-26 08:11:00,48.73,4.03,3.25,card,TXN55347939,58,False,2025-01-26 07:49:00
91,NP-2025-0000091,256,11,in_store,cancelled,2025-01-26 14:44:00,2025-01-26 15:01:00,137.01,5.29,9.14,contactless,TXN83227680,164,False,2025-01-26 14:44:00
92,NP-2025-0000092,267,24,in_store,completed,2025-01-26 09:27:00,2025-01-26 09:39:00,70.43,1.67,4.7,card,TXN31755769,84,False,2025-01-26 09:27:00
93,NP-2025-0000093,250,5,click_collect,cancelled,2025-01-26 07:56:00,2025-01-26 08:33:00,91.4,4.59,6.1,online,TXN80409156,109,True,2025-01-26 07:56:00
94,NP-2025-0000094,289,21,in_store,completed,2025-01-26 19:18:00,2025-01-26 19:29:00,96.2,3.35,6.42,cash,TXN59879577,115,False,2025-01-26 19:18:00
95,NP-2025-0000095,475,24,in_store,cancelled,2025-01-27 22:38:00,2025-01-27 22:48:00,87.36,1.72,5.83,card,TXN54315629,104,False,2025-01-27 22:38:00
96,NP-2025-0000096,3,10,click_collect,cancelled,2025-01-27 06:20:00,2025-01-27 06:34:00,35.95,0.86,2.4,contactless,TXN18999031,43,False,2025-01-27 06:20:00
97,NP-2025-0000097,35,12,in_store,cancelled,2025-01-27 16:06:00,2025-01-27 16:43:00,114.18,12.1,7.62,cash,TXN30998769,137,False,2025-01-27 16:06:00
98,NP-2025-0000098,374,10,in_store,completed,2025-01-28 12:17:00,2025-01-28 12:58:00,148.54,13.67,9.91,contactless,TXN88446018,178,False,2025-01-28 12:17:00
99,NP-2025-0000099,92,9,in_store,returned,2025-01-28 08:37:00,2025-01-28 08:45:00,22.57,0.34,1.51,card,TXN47579022,27,False,2025-01-28 08:37:00
100,NP-2025-0000100,343,30,in_store,completed,2025-01-28 16:36:00,2025-01-28 16:51:00,174.15,3.51,11.62,online,TXN92662979,208,False,2025-01-28 16:36:00
101,NP-2025-0000101,166,3,in_store,completed,2025-01-29 08:59:00,2025-01-29 09:09:00,29.65,1.82,1.98,contactless,TXN10033134,35,False,2025-01-29 08:59:00
102,NP-2025-0000102,397,13,in_store,cancelled,2025-01-29 16:19:00,2025-01-29 16:51:00,46.76,1.99,3.12,contactless,TXN60641630,56,False,2025-01-29 16:19:00
103,NP-2025-0000103,365,5,in_store,completed,2025-01-29 22:05:00,2025-01-29 22:42:00,172.17,9.12,11.48,online,TXN47277197,206,False,2025-01-29 22:05:00
104,NP-2025-0000104,444,12,click_collect,completed,2025-01-30 09:35:00,2025-01-30 10:19:00,118.94,4.94,7.93,card,TXN13395111,142,False,2025-01-30 09:35:00
105,NP-2025-0000105,227,12,in_store,returned,2025-01-30 18:23:00,2025-01-30 18:37:00,168.28,0.11,11.22,card,TXN36284674,201,False,2025-01-30 18:23:00
106,NP-2025-0000106,140,2,in_store,cancelled,2025-01-30 17:58:00,2025-01-30 18:17:00,92.74,7.14,6.19,card,TXN91439883,111,False,2025-01-30 17:58:00
107,NP-2025-0000107,312,21,in_store,completed,2025-01-31 14:40:00,2025-01-31 15:13:00,174.94,3.65,11.67,card,TXN73190952,209,False,2025-01-31 14:40:00
108,NP-2025-0000108,362,24,in_store,completed,2025-01-31 07:23:00,2025-01-31 07:33:00,112.07,1.11,7.48,online,TXN30561048,134,False,2025-01-31 07:23:00
109,NP-2025-0000109,437,7,in_store,cancelled,2025-01-31 07:28:00,2025-01-31 08:09:00,59.65,5.28,3.98,cash,TXN47242488,71,False,2025-01-31 07:28:00
110,NP-2025-0000110,214,27,in_store,cancelled,2025-02-01 11:57:00,2025-02-01 12:41:00,95.12,0.7,6.34,online,TXN64112975,114,False,2025-02-01 11:57:00
111,NP-2025-0000111,102,23,in_store,returned,2025-02-01 14:05:00,2025-02-01 14:33:00,82.32,1.71,5.49,card,TXN91675383,98,False,2025-02-01 14:05:00
112,NP-2025-0000112,429,23,in_store,completed,2025-02-01 15:17:00,2025-02-01 15:55:00,25.16,2.81,1.68,contactless,TXN86258924,30,False,2025-02-01 15:17:00
113,NP-2025-0000113,495,1,in_store,completed,2025-02-01 11:46:00,2025-02-01 11:48:00,37.08,0.97,2.47,cash,TXN94104175,44,False,2025-02-01 11:46:00
114,NP-2025-0000114,159,2,in_store,completed,2025-02-01 13:19:00,2025-02-01 13:39:00,135.67,2.9,9.05,online,TXN27815365,162,False,2025-02-01 13:19:00
115,NP-2025-0000115,152,9,in_store,cancelled,2025-02-02 19:14:00,2025-02-02 19:44:00,52.38,1.66,3.49,card,TXN33771581,62,False,2025-02-02 19:14:00
116,NP-2025-0000116,19,27,click_collect,returned,2025-02-02 17:49:00,2025-02-02 18:15:00,150.08,2.8,10.01,online,TXN32880719,180,False,2025-02-02 17:49:00
117,NP-2025-0000117,283,27,in_store,cancelled,2025-02-02 17:41:00,2025-02-02 18:00:00,40.91,0.45,2.73,online,TXN77614227,49,False,2025-02-02 17:41:00
118,NP-2025-0000118,338,21,in_store,completed,2025-02-02 12:29:00,2025-02-02 13:01:00,10.02,0.17,0.67,card,TXN79394567,12,False,2025-02-02 12:29:00
119,NP-2025-0000119,184,28,in_store,completed,2025-02-02 18:42:00,2025-02-02 18:54:00,61.08,3.09,4.07,card,TXN94486312,73,False,2025-02-02 18:42:00
120,NP-2025-0000120,96,25,in_store,completed,2025-02-03 11:58:00,2025-02-03 12:28:00,58.25,5.66,3.89,contactless,TXN83387315,69,False,2025-02-03 11:58:00
121,NP-2025-0000121,173,16,in_store,cancelled,2025-02-03 18:30:00,2025-02-03 18:57:00,48.83,1.76,3.26,card,TXN90657059,58,False,2025-02-03 18:30:00
122,NP-2025-0000122,206,19,click_collect,completed,2025-02-03 22:06:00,2025-02-03 22:18:00,79.24,4.87,5.29,card,TXN87509126,95,False,2025-02-03 22:06:00
123,NP-2025-0000123,159,26,in_store,completed,2025-02-04 10:08:00,2025-02-04 10:32:00,142.89,7.87,9.53,card,TXN22133101,171,False,2025-02-04 10:08:00
124,NP-2025-0000124,121,28,in_store,completed,2025-02-04 10:12:00,2025-02-04 10:41:00,57.38,0.62,3.83,card,TXN34775741,68,False,2025-02-04 10:12:00
125,NP-2025-0000125,352,13,in_store,cancelled,2025-02-04 06:30:00,2025-02-04 06:45:00,65.0,7.12,4.34,contactless,TXN83796808,78,False,2025-02-04 06:30:00
126,NP-2025-0000126,205,25,in_store,completed,2025-02-05 13:48:00,2025-02-05 14:08:00,72.52,7.13,4.84,card,TXN27921592,87,False,2025-02-05 13:48:00
127,NP-2025-0000127,14,8,in_store,returned,2025-02-05 18:34:00,2025-02-05 18:47:00,65.38,6.02,4.36,online,TXN88709162,78,False,2025-02-05 18:34:00
128,NP-2025-0000128,331,8,in_store,completed,2025-02-05 22:52:00,2025-02-05 23:25:00,111.65,2.52,7.45,contactless,TXN20370954,133,False,2025-02-05 22:52:00
129,NP-2025-0000129,146,10,click_collect,completed,2025-02-06 08:21:00,2025-02-06 09:06:00,119.28,11.76,7.96,contactless,TXN30232996,143,False,2025-02-06 08:21:00
130,NP-2025-0000130,413,3,click_collect,completed,2025-02-06 11:10:00,2025-02-06 11:55:00,124.25,10.92,8.29,card,TXN72400868,149,False,2025-02-06 11:10:00
131,NP-2025-0000131,352,15,in_store,completed,2025-02-06 06:10:00,2025-02-06 06:43:00,27.09,2.13,1.81,cash,TXN61538303,32,False,2025-02-06 06:10:00
132,NP-2025-0000132,310,26,click_collect,completed,2025-02-07 07:19:00,2025-02-07 07:53:00,49.89,2.23,3.33,online,TXN25563675,59,False,2025-02-07 07:19:00
133,NP-2025-0000133,446,22,in_store,completed,2025-02-07 17:07:00,2025-02-07 17:18:00,176.62,0.15,11.78,cash,TXN61468716,211,False,2025-02-07 17:07:00
134,NP-2025-0000134,21,4,click_collect,completed,2025-02-07 12:32:00,2025-02-07 13:03:00,80.82,3.56,5.39,contactless,TXN47811007,96,False,2025-02-07 12:32:00
135,NP-2025-0000135,137,6,in_store,completed,2025-02-08 14:27:00,2025-02-08 14:51:00,122.96,6.15,8.2,card,TXN82846470,147,False,2025-02-08 14:27:00
136,NP-2025-0000136,379,13,in_store,completed,2025-02-08 07:38:00,2025-02-08 07:51:00,67.2,0.68,4.48,card,TXN81305655,80,False,2025-02-08 07:38:00
137,NP-2025-0000137,125,30,in_store,cancelled,2025-02-08 21:27:00,2025-02-08 22:02:00,65.12,4.45,4.34,contactless,TXN92844702,78,False,2025-02-08 21:27:00
138,NP-2025-0000138,416,29,in_store,completed,2025-02-08 17:02:00,2025-02-08 17:28:00,111.44,6.86,7.43,online,TXN95606010,133,False,2025-02-08 17:02:00
139,NP-2025-0000139,370,21,click_collect,cancelled,2025-02-08 15:27:00,2025-02-08 15:34:00,8.43,0.85,0.56,online,TXN44474897,10,False,2025-02-08 15:27:00
140,NP-2025-0000140,277,28,in_store,completed,2025-02-09 12:36:00,2025-02-09 12:41:00,179.11,8.04,11.95,cash,TXN78993223,214,False,2025-02-09 12:36:00
141,NP-2025-0000141,310,13,in_store,completed,2025-02-09 14:47:00,2025-02-09 15:32:00,53.09,1.82,3.54,online,TXN16139411,63,True,2025-02-09 14:47:00
142,NP-2025-0000142,237,20,click_collect,cancelled,2025-02-09 06:50:00,2025-02-09 07:12:00,119.84,1.4,7.99,card,TXN45843284,143,False,2025-02-09 06:50:00
143,NP-2025-0000143,302,14,in_store,cancelled,2025-02-09 13:04:00,2025-02-09 13:44:00,132.29,5.22,8.82,cash,TXN71826611,158,False,2025-02-09 13:04:00
144,NP-2025-0000144,237,28,in_store,cancelled,2025-02-09 16:21:00,2025-02-09 16:54:00,65.29,1.65,4.35,contactless,TXN30371382,78,False,2025-02-09 16:21:00
145,NP-2025-0000145,324,16,in_store,returned,2025-02-10 14:25:00,2025-02-10 14:49:00,120.45,1.2,8.03,cash,TXN20550656,144,False,2025-02-10 14:25:00
146,NP-2025-0000146,80,20,in_store,returned,2025-02-10 15:18:00,2025-02-10 15:30:00,83.74,6.27,5.59,contactless,TXN13968089,100,False,2025-02-10 15:18:00
147,NP-2025-0000147,193,30,in_store,returned,2025-02-10 06:48:00,2025-02-10 06:58:00,102.16,4.64,6.81,contactless,TXN41503392,122,False,2025-02-10 06:48:00
148,NP-2025-0000148,149,6,in_store,completed,2025-02-11 09:25:00,2025-02-11 09:52:00,41.58,2.74,2.77,card,TXN86604099,49,False,2025-02-11 09:25:00
149,NP-2025-0000149,55,22,in_store,cancelled,2025-02-11 19:57:00,2025-02-11 20:39:00,60.56,5.54,4.04,card,TXN94594167,72,False,2025-02-11 19:57:00
150,NP-2025-0000150,423,30,click_collect,completed,2025-02-11 13:54:00,2025-02-11 14:06:00,91.34,10.13,6.09,contactless,TXN48424310,109,False,2025-02-11 13:54:00
151,NP-2025-0000151,350,30,in_store,completed,2025-02-12 06:34:00,2025-02-12 07:00:00,138.4,9.64,9.23,online,TXN33121777,166,False,2025-02-12 06:34:00
152,NP-2025-0000152,318,17,in_store,completed,2025-02-12 19:12:00,2025-02-12 19:52:00,113.11,7.74,7.54,card,TXN91833362,135,False,2025-02-12 19:12:00
153,NP-2025-0000153,351,3,in_store,completed,2025-02-12 16:39:00,2025-02-12 16:42:00,33.71,3.01,2.25,online,TXN73339163,40,False,2025-02-12 16:39:00
154,NP-2025-0000154,189,24,in_store,completed,2025-02-13 22:55:00,2025-02-13 23:08:00,153.73,8.71,10.25,card,TXN71440701,184,False,2025-02-13 22:55:00
155,NP-2025-0000155,296,15,in_store,completed,2025-02-13 16:08:00,2025-02-13 16:25:00,15.87,1.3,1.06,card,TXN37784045,19,False,2025-02-13 16:08:00
156,NP-2025-0000156,126,15,in_store,cancelled,2025-02-13 11:29:00,2025-02-13 11:35:00,145.55,0.12,9.71,card,TXN31376399,174,False,2025-02-13 11:29:00
157,NP-2025-0000157,453,23,click_collect,returned,2025-02-14 22:30:00,2025-02-14 22:39:00,16.85,1.45,1.12,contactless,TXN44900534,20,False,2025-02-14 22:30:00
